OD (in),Length (in),Rate (lbs/in),Initial Tension (lbs),Sugg. Max. Defl. (in),Sugg. Max. Load (lbs),Wire Dia. (in)
0.75,4.5,55,8,1.5,93,0.125
0.75,4.5,47,7,1.2,61,0.125
0.75,5,48,8,1.8,93,0.125
0.75,5,41,7,1.3,61,0.125
0.85,2,3.2,0.7,2.6,8.9,0.055
0.85,2,2.7,0.6,2,6.1,0.055
0.85,2.25,2.1,0.7,3.9,8.9,0.055
0.85,2.25,1.8,0.6,3.1,6.1,0.055
0.85,2.5,1.6,0.7,5.1,8.9,0.055
0.85,2.5,1.4,0.6,4.1,6.1,0.055
0.85,2.75,1.2,0.7,6.8,8.9,0.055
0.85,2.75,1,0.6,5.4,6.1,0.055
0.85,2.25,3.9,1,3.1,13,0.063
0.85,2.25,3.3,0.9,2.4,8.9,0.063
0.85,2.5,2.9,1,4.1,13,0.063
0.85,2.5,2.5,0.9,3.3,8.9,0.063
0.85,2.75,2.3,1,5.2,13,0.063
0.85,2.75,2,0.9,4.1,8.9,0.063
0.85,3,1.9,1,6.3,13,0.063
0.85,3,1.6,0.9,5,8.9,0.063
0.85,3.5,1.4,1,8.6,13,0.063
0.85,3.5,1.2,0.9,6.8,8.9,0.063
0.85,2.25,9.7,2,2,21,0.075
0.85,2.25,8.2,1,1.5,14,0.075
0.85,2.5,7.5,2,2.6,21,0.075
0.85,2.5,6.4,1,2,14,0.075
0.85,2.75,6,2,3.2,21,0.075
0.85,2.75,5.1,1,2.5,14,0.075
0.85,3,5,2,3.8,21,0.075
0.85,3,4.3,1,3,14,0.075
0.85,3.5,3.8,2,5.1,21,0.075
0.85,3.5,3.2,1,4,14,0.075
0.85,4,3,2,6.4,21,0.075
0.85,4,2.6,1,5,14,0.075
0.85,4.5,2.5,2,7.7,21,0.075
0.85,4.5,2.1,1,6,14,0.075
0.85,4.75,2.3,2,8.4,21,0.075
0.85,4.75,2,1,6.5,14,0.075
0.85,5,2.2,2,8.7,21,0.075
0.85,5,1.9,1,6.8,14,0.075
0.85,5.25,9.7,2,2,21,0.075
0.85,5.25,8.2,1,1.5,14,0.075
0.85,2,31,2,0.9,30,0.085
0.85,2,26,2,0.7,20,0.085
0.85,2.25,19,2,1.4,30,0.085
0.85,2.25,16,2,1.1,20,0.085
0.85,2.5,14,2,2,30,0.085
0.85,2.5,12,2,1.5,20,0.085
0.85,2.75,11,2,2.4,30,0.085
0.85,2.75,9.5,2,1.9,20,0.085
0.85,3,9.5,2,2.9,30,0.085
0.85,3,8.1,2,2.2,20,0.085
0.85,3.5,7.3,2,3.7,30,0.085
0.85,3.5,6.2,2,2.9,20,0.085
0.85,4,5.8,2,4.7,30,0.085
0.85,4,4.9,2,3.7,20,0.085
0.85,4.5,4.9,2,5.6,30,0.085
0.85,4.5,4.2,2,4.3,20,0.085
0.85,4.75,4.5,2,6.1,30,0.085
0.85,4.75,3.8,2,4.7,20,0.085
0.85,5,4.2,2,6.6,30,0.085
0.85,5,3.5,2,5.1,20,0.085
0.85,5.5,3.6,2,7.6,30,0.085
0.85,5.5,3.1,2,5.9,20,0.085
0.85,6,3.2,2,8.5,30,0.085
0.85,6,2.7,2,6.6,20,0.085
1,2.5,2.6,0.9,4,11,0.063
1,2.5,2.2,0.8,3.2,7.8,0.063
1,2.75,1.9,0.9,5.5,11,0.063
1,2.75,1.6,0.8,4.4,7.8,0.063
1,3,1.5,0.9,7,11,0.063
1,3,1.3,0.8,5.5,7.8,0.063
1,3.25,1.2,0.9,8.7,11,0.063
1,3.25,1,0.8,6.9,7.8,0.063
1,3.5,1,0.4,10,11,0.063
1,3.5,0.85,0.3,8.3,7.4,0.063
1,2.5,6.3,1,2.6,18,0.075
1,2.75,4.6,1,3.6,18,0.075
1,2.75,3.9,1,2.8,12,0.075
1,3,3.6,1,4.6,18,0.075
1,3,3.1,1,3.6,12,0.075
1,3.5,2.6,1,6.3,18,0.075
1,3.5,2.2,1,4.9,12,0.075
1,4,2,1,8.2,18,0.075
1,4,1.7,1,6.4,12,0.075
1,4.5,1.7,1,9.7,18,0.075
1,4.5,1.4,1,7.6,12,0.075
1,5,1.4,1,12,18,0.075
1,5,1.2,1,9.2,12,0.075
1,2.5,14,2,1.7,26,0.085
1,2.5,12,2,1.3,18,0.085
1,2.75,8.5,2,2.8,26,0.085
1,2.75,7.2,2,2.2,18,0.085
1,3,6.8,2,3.5,26,0.085
1,3,5.8,2,2.7,18,0.085
1,3.5,5,2,4.8,26,0.085
1,3.5,4.3,2,3.7,18,0.085
1,4,3.9,2,6.1,26,0.085
1,4,3.3,2,4.8,18,0.085
1,4.5,3.2,2,7.4,26,0.085
1,4.5,2.7,2,5.8,18,0.085
1,5,2.7,2,8.8,26,0.085
1,5,2.3,2,6.9,18,0.085
1,2.5,24,3,1.3,34,0.095
1,2.75,15,3,2.1,34,0.095
1,2.75,13,2,1.6,23,0.095
1,3,12,3,2.6,34,0.095
1,3,10,2,2,23,0.095
1,3.5,8.7,3,3.6,34,0.095
1,3.5,7.4,2,2.8,23,0.095
1,4,6.9,3,4.5,34,0.095
1,4.5,5.6,3,5.6,34,0.095
1,4.5,4.8,2,4.3,23,0.095
1,5,4.8,3,6.5,34,0.095
1,5.5,4.1,3,7.6,34,0.095
1,5.5,3.5,2,5.8,23,0.095
1,6,3.6,3,8.6,34,0.095
1,6,3.1,2,6.6,23,0.095
1,6.5,3.3,3,9.4,34,0.095
1,6.5,2.8,2,7.3,23,0.095
1,7,2.9,3,11,34,0.095
1,7,2.5,2,8.3,23,0.095
1,8,2.4,3,13,34,0.095
1,8,2,2,10,23,0.095
1,9,2.1,3,15,34,0.095
1,9,1.8,2,11,23,0.095
1,2.5,39,4,1.1,46,0.105
1,2.5,33,3,0.83,31,0.105
1,2.75,26,4,1.6,46,0.105
1,2.75,22,3,1.3,31,0.105
1,3,21,4,2,46,0.105
1,3,18,3,1.5,31,0.105
1,3.5,15,4,2.9,46,0.105
1,3.5,12,3,2.2,31,0.105
1,4,12,4,3.6,46,0.105
1,4,9.8,3,2.8,31,0.105
1,4.5,9.3,4,4.5,46,0.105
1,4.5,7.9,3,3.5,31,0.105
1,5,7.9,4,5.3,46,0.105
1,5,6.7,3,4.1,31,0.105
1,5.5,6.8,4,6.1,46,0.105
1,5.5,5.8,3,4.7,31,0.105
1,6,6,4,6.9,46,0.105
1,6,5.1,3,5.3,31,0.105
1,6.5,5.5,4,7.6,46,0.105
1,6.5,4.7,3,5.9,31,0.105
1,7,5,4,8.4,46,0.105
1,7,4.3,3,6.4,31,0.105
1,8,4.2,4,10,46,0.105
1,8,3.6,3,7.7,31,0.105
0.562,3.25,0.99,0.7,5.8,6.5,0.047
1,9,3.6,4,12,46,0.105
1,9,3.1,3,8.9,31,0.105
1,2.5,60,5,0.87,58,0.115
1,2.5,51,4,0.66,38,0.115
1,2.75,41,5,1.3,58,0.115
1,2.75,35,4,0.97,38,0.115
1,3,33,5,1.6,58,0.115
1,3,28,4,1.2,38,0.115
1,3.5,24,5,2.2,58,0.115
1,3.5,20,4,1.7,38,0.115
1,4,18,5,2.9,58,0.115
1,4,16,4,2.2,38,0.115
1,4.5,15,5,3.5,58,0.115
1,4.5,13,4,2.7,38,0.115
1,5,13,5,4.1,58,0.115
1,5,11,4,3.1,38,0.115
1,5.5,11,5,4.8,58,0.115
1,5.5,9.4,4,3.6,38,0.115
1,6,9.8,5,5.4,58,0.115
1,6,8.3,4,4.1,38,0.115
1,6.5,8.8,5,6,58,0.115
1,6.5,7.5,4,4.5,38,0.115
1,7,8.1,5,6.5,58,0.115
1,7,6.9,4,4.9,38,0.115
1,8,6.7,5,7.9,58,0.115
1,8,5.7,4,6,38,0.115
1,9,5.8,5,9.1,58,0.115
1,9,4.9,4,6.9,38,0.115
1,2.5,87,6,0.77,73,0.125
1,2.5,74,5,0.58,48,0.125
1,2.75,66,6,1,73,0.125
1,2.75,56,5,0.78,48,0.125
1,3,52,6,1.3,73,0.125
1,3,45,5,0.97,48,0.125
1,3.5,37,6,1.8,73,0.125
1,3.5,32,5,1.4,48,0.125
1,4,29,6,2.3,73,0.125
1,4,25,5,1.7,48,0.125
1,4.5,24,6,2.8,73,0.125
1,4.5,20,5,2.1,48,0.125
1,5,20,6,3.3,73,0.125
1,5,17,5,2.5,48,0.125
1,5.5,18,6,3.8,73,0.125
1,5.5,15,5,2.9,48,0.125
1,6,15,6,4.4,73,0.125
1,6,13,5,3.3,48,0.125
1,6.5,14,6,4.9,73,0.125
1,6.5,12,5,3.7,48,0.125
1,7,13,6,5.4,73,0.125
1,7,11,5,4.1,48,0.125
1,8,11,6,6.4,73,0.125
1,8,8.9,5,4.8,48,0.125
1,9,9,6,7.5,73,0.125
1,9,7.7,5,5.7,48,0.125
1,2.5,134,8,0.61,89,0.135
1,2.5,114,6,0.45,58,0.135
1,2.75,98,8,0.83,89,0.135
1,2.75,84,6,0.62,58,0.135
1,3,78,8,1.1,89,0.135
1,3,66,6,0.78,58,0.135
1,3.5,57,8,1.4,89,0.135
1,3.5,48,6,1.1,58,0.135
1,4,45,8,1.8,89,0.135
1,4,38,6,1.4,58,0.135
1,4.5,36,8,2.3,89,0.135
1,4.5,31,6,1.7,58,0.135
1,5,31,8,2.7,89,0.135
1,5,26,6,2,58,0.135
1,5.5,26,8,3.1,89,0.135
1,5.5,22,6,2.3,58,0.135
1,6,23,8,3.5,89,0.135
1,6,20,6,2.6,58,0.135
1,6.5,21,8,3.9,89,0.135
1,6.5,18,6,2.9,58,0.135
1,7,19,8,4.3,89,0.135
1,7,16,6,3.2,58,0.135
1,8,16,8,5.1,89,0.135
1,8,14,6,3.8,58,0.135
1,9,14,8,6,89,0.135
1,9,12,6,4.4,58,0.135
1,2.5,203,10,0.52,114,0.148
1,2.5,172,8,0.38,74,0.148
1,2.75,159,10,0.66,114,0.148
1,2.75,135,8,0.49,74,0.148
1,3,124,10,0.84,114,0.148
1,3,105,8,0.63,74,0.148
1,3.5,93,10,1.1,114,0.148
1,3.5,79,8,0.83,74,0.148
1,4,72,10,1.5,114,0.148
1,4,61,8,1.1,74,0.148
1,4.5,59,10,1.8,114,0.148
1,4.5,50,8,1.3,74,0.148
1,5,50,10,2.1,114,0.148
1,5,42,8,1.6,74,0.148
1,5.5,44,10,2.4,114,0.148
1,5.5,37,8,1.8,74,0.148
1,6,39,10,2.7,114,0.148
1,6,33,8,2,74,0.148
1,6.5,34,10,3.1,114,0.148
1,6.5,29,8,2.3,74,0.148
1,7,31,10,3.4,114,0.148
1,7,26,8,2.5,74,0.148
1,8,26,10,4,114,0.148
1,8,22,8,3,74,0.148
1,9,23,10,4.6,114,0.148
1,9,19,8,3.4,74,0.148
1.125,3,7,2,3,23,0.085
1.125,3,6,2,2.4,16,0.085
1.125,3.5,4.3,2,4.9,23,0.085
1.125,3.5,3.7,2,3.9,16,0.085
1.125,4,3.1,2,6.9,23,0.085
1.125,4,2.6,2,5.4,16,0.085
1.125,4.5,2.5,2,8.5,23,0.085
1.125,4.5,2.1,2,6.7,16,0.085
1.125,5,2,2,11,23,0.085
1.125,5,1.7,2,8.3,16,0.085
1.125,5.5,1.7,2,13,23,0.085
1.125,5.5,1.4,2,9.8,16,0.085
1.125,6,1.5,2,14,23,0.085
1.125,6,1.3,2,11,16,0.085
1.125,6.5,1.3,2,16,23,0.085
1.125,6.5,1.1,2,13,16,0.085
1.125,7,1.2,2,18,23,0.085
1.125,7,1,2,14,16,0.085
1.125,3,20,3,1.9,41,0.105
1.125,3,17,3,1.5,27,0.105
1.125,3.5,13,3,3,41,0.105
1.125,3.5,11,3,2.3,27,0.105
1.125,4,9.2,3,4.1,41,0.105
1.125,4,7.8,3,3.1,27,0.105
1.125,4.5,7.3,3,5.1,41,0.105
1.125,4.5,6.2,3,3.9,27,0.105
1.125,5,6,3,6.2,41,0.105
1.125,5,5.1,3,4.8,27,0.105
1.125,5.5,5.1,3,7.3,41,0.105
1.125,5.5,4.3,3,5.6,27,0.105
1.125,6,4.5,3,8.3,41,0.105
1.125,6,3.8,3,6.4,27,0.105
1.125,6.5,3.9,3,9.6,41,0.105
1.125,6.5,3.3,3,7.4,27,0.105
1.125,7,3.5,3,11,41,0.105
1.125,7,3,3,8.2,27,0.105
1.125,3,46,6,1.3,66,0.125
1.125,3,39,5,0.99,43,0.125
1.125,3.5,30,6,2,66,0.125
1.125,3.5,26,5,1.5,43,0.125
1.125,4,23,6,2.7,66,0.125
1.125,4,19,5,2,43,0.125
1.125,4.5,18,6,3.4,66,0.125
1.125,4.5,15,5,2.5,43,0.125
1.125,5,15,6,4,66,0.125
1.125,5,13,5,3.1,43,0.125
1.125,5.5,13,6,4.7,66,0.125
1.125,5.5,11,5,3.6,43,0.125
1.125,6,11,6,5.4,66,0.125
1.125,6,9.4,5,4.1,43,0.125
1.125,6.5,9.9,6,6.1,66,0.125
1.125,6.5,8.4,5,4.6,43,0.125
1.125,7,8.9,6,6.8,66,0.125
1.125,7,7.6,5,5.1,43,0.125
1.25,3,7,2,2.7,21,0.085
1.25,3,6,2,2.1,14,0.085
1.25,3.5,4.3,2,4.5,21,0.085
1.25,3.5,3.7,2,3.5,14,0.085
1.25,4,3.1,2,6.2,21,0.085
1.25,4,2.6,2,4.8,14,0.085
1.25,4.5,2.5,2,7.7,21,0.085
1.25,4.5,2.1,2,6,14,0.085
1.25,5,2,2,9.6,21,0.085
1.25,5,1.7,2,7.5,14,0.085
1.25,5.5,1.7,2,11,21,0.085
1.25,5.5,1.4,2,8.8,14,0.085
1.25,6,1.5,2,13,21,0.085
1.25,6,1,2,10,14,0.085
1.25,6.5,1.3,2,15,21,0.085
1.25,6.5,1.1,2,12,14,0.085
1.25,7,1.2,2,16,21,0.085
1.25,7,1,2,13,14,0.085
1.25,3.25,7.3,2,3.5,28,0.095
1.25,3.25,6.2,2,2.7,19,0.095
1.25,3.5,6.3,2,4.1,28,0.095
1.25,3.5,5.3,2,3.2,19,0.095
1.25,4,4.4,2,5.8,28,0.095
1.25,4,3.7,2,4.5,19,0.095
1.25,4.5,3.4,2,7.5,28,0.095
1.25,4.5,2.9,2,5.8,19,0.095
1.25,5,2.8,2,9.3,28,0.095
1.25,5,2.3,2,7.2,19,0.095
1.25,5.5,2.3,2,11,28,0.095
1.25,5.5,2,2,8.6,19,0.095
1.25,6,2,2,13,28,0.095
1.25,6,1.7,2,9.9,19,0.095
1.25,6.5,1.8,2,14,28,0.095
1.25,6.5,1.5,2,11,19,0.095
1.25,7,1.6,2,16,28,0.095
1.25,7,1.3,2,13,19,0.095
1.25,7.5,1.4,2,18,28,0.095
1.25,7.5,1.2,2,14,19,0.095
1.25,3,20,3,1.8,38,0.105
1.25,3,17,3,1.4,26,0.105
1.25,3.5,13,3,2.8,38,0.105
1.25,3.5,11,3,2.1,26,0.105
1.25,4,9.2,3,3.7,38,0.105
1.25,4,7.8,3,2.9,26,0.105
1.25,4.5,7.3,3,4.7,38,0.105
1.25,4.5,6.2,3,3.6,26,0.105
1.25,5,6,3,5.7,38,0.105
1.25,5,5.1,3,4.4,26,0.105
1.25,5.5,5.1,3,6.8,38,0.105
1.25,5.5,4.3,3,5.2,26,0.105
1.25,6,4.5,3,7.7,38,0.105
1.25,6,3.8,3,5.9,26,0.105
1.25,6.5,2.7,4,11,33.7,0.105
1.25,6.5,2.4,4,10.2,28,0.105
1.25,7,3.5,3,9.8,38,0.105
1.25,7,3,3,7.6,26,0.105
1.25,3.25,18,4,2.4,47,0.115
1.25,3.25,15,4,1.8,31,0.115
1.25,3.5,16,4,2.7,47,0.115
1.25,3.5,14,3,2,31,0.115
1.25,4,11,4,3.7,47,0.115
1.25,4,9.7,3,2.8,31,0.115
1.25,4.5,8.8,4,4.8,47,0.115
1.25,4.5,7.5,3,3.7,31,0.115
1.25,5,7.2,4,5.9,47,0.115
1.25,5,6.1,3,4.5,31,0.115
1.25,5.5,6.1,4,7,47,0.115
1.25,5.5,5.2,3,5.3,31,0.115
1.25,6,5.3,4,8.1,47,0.115
1.25,6,4.5,3,6.1,31,0.115
1.25,6.5,4.7,4,9.1,47,0.115
1.25,6.5,4,3,6.9,31,0.115
1.25,7,4.2,4,10,47,0.115
1.25,7,3.6,3,7.7,31,0.115
1.25,7.5,3.8,4,11,47,0.115
1.25,7.5,3.2,3,8.6,31,0.115
1.25,3.01,34,6,1.9,73,0.135
1.25,3.01,29,5,1.4,47,0.135
1.25,3.25,41,6,1.6,73,0.135
1.25,3.25,34,5,1.2,47,0.135
1.25,3.5,39,6,1.7,73,0.135
1.25,3.5,33,5,1.3,47,0.135
1.25,4,26,6,2.5,73,0.135
1.25,4,22,5,1.9,47,0.135
1.25,4.5,20,6,3.3,73,0.135
1.25,4.5,17,5,2.4,47,0.135
1.25,5,17,6,4,73,0.135
1.25,5,14,5,2.9,47,0.135
1.25,5.5,14,6,4.7,73,0.135
1.25,5.5,12,5,3.5,47,0.135
1.25,6,12,6,5.4,73,0.135
1.25,6,10,5,4.1,47,0.135
1.25,6.5,11,6,6.2,73,0.135
1.25,6.5,9.2,5,4.6,47,0.135
1.25,7,9.7,6,6.9,73,0.135
1.25,7,8.2,5,5.1,47,0.135
1.25,7.5,8.8,6,7.6,73,0.135
1.25,7.5,7.4,5,5.7,47,0.135
1.25,3.5,61,8,1.4,95,0.148
1.25,3.5,52,7,1.1,62,0.148
1.25,4,44,8,2,95,0.148
1.25,4,37,7,1.5,62,0.148
1.25,4.5,34,8,2.6,95,0.148
1.25,4.5,29,7,1.9,62,0.148
1.25,5,28,8,3.1,95,0.148
1.25,5,24,7,2.3,62,0.148
1.25,5.5,23,8,3.7,95,0.148
1.25,5.5,20,7,2.8,62,0.148
1.25,6,20,8,4.3,95,0.148
1.25,6,17,7,3.2,62,0.148
1.25,6.5,18,8,4.9,95,0.148
1.25,6.5,15,7,3.6,62,0.148
1.25,7,16,8,5.4,95,0.148
1.25,7,14,7,4.1,62,0.148
1.25,7.5,15,8,6,95,0.148
1.25,7.5,12,7,4.5,62,0.148
1.5,4.5,9.7,4,4.8,51,0.125
1.5,4.5,8.2,4,3.7,34,0.125
1.5,5,7.5,4,6.2,51,0.125
1.5,5,6.4,4,4.7,34,0.125
1.5,5.5,6.1,4,7.6,51,0.125
1.5,5.5,5.2,4,5.8,34,0.125
1.5,6,5.2,4,9,51,0.125
1.5,6,4.4,4,6.8,34,0.125
1.5,6.5,4.5,4,10,51,0.125
1.5,6.5,3.8,4,7.9,34,0.125
1.5,7,4,4,12,51,0.125
1.5,7,3.4,4,8.9,34,0.125
1.5,7.5,3.5,4,13,51,0.125
1.5,7.5,3,4,10,34,0.125
1.5,8,3.2,4,15,51,0.125
1.5,8,2.7,4,11,34,0.125
1.5,4.5,24,7,3,80,0.148
1.5,4.5,21,6,2.2,52,0.148
1.5,5,19,7,3.9,80,0.148
1.5,5,16,6,2.9,52,0.148
1.5,5.5,15,7,4.8,80,0.148
1.5,5.5,13,6,3.6,52,0.148
1.5,6,13,7,5.7,80,0.148
1.5,6,11,6,4.2,52,0.148
1.5,6.5,11,7,6.5,80,0.148
1.5,6.5,9.5,6,4.9,52,0.148
1.5,7,9.8,7,7.5,80,0.148
1.5,7,8.3,6,5.6,52,0.148
1.5,7.5,8.8,7,8.3,80,0.148
1.5,7.5,7.5,6,6.2,52,0.148
1.5,8,7.9,7,9.3,80,0.148
1.5,8,6.7,6,6.9,52,0.148
1.5,4.5,60,11,2,132,0.177
1.5,4.5,51,9,1.5,85,0.177
1.5,5,47,11,2.6,132,0.177
1.5,5,40,9,1.9,85,0.177
1.5,5.5,39,11,3.1,132,0.177
1.5,5.5,33,9,2.3,85,0.177
1.5,6,33,11,3.7,132,0.177
1.5,6,28,9,2.7,85,0.177
1.5,6.5,28,11,4.3,132,0.177
1.5,6.5,24,9,3.1,85,0.177
1.5,7,25,11,4.8,132,0.177
1.5,7,21,9,3.5,85,0.177
1.5,7.5,23,11,5.4,132,0.177
1.5,7.5,19,9,3.9,85,0.177
1.5,8,20,11,6,132,0.177
1.5,8,17,9,4.4,85,0.177
1.75,5,15,6,4.3,70,0.148
1.75,5,13,5,3.2,46,0.148
1.75,5.5,12,6,5.6,70,0.148
1.75,5.5,9.8,5,4.2,46,0.148
1.75,6,9.4,6,6.9,70,0.148
1.75,6,8,5,5.1,46,0.148
1.75,6.5,7.9,6,8.2,70,0.148
1.75,6.5,6.7,5,6.1,46,0.148
1.75,7,6.8,6,9.5,70,0.148
1.75,7,5.8,5,7.1,46,0.148
1.75,7.5,6,6,11,70,0.148
1.75,7.5,5.1,5,8.1,46,0.148
1.75,8,5.3,6,12,70,0.148
1.75,8,4.5,5,9.1,46,0.148
1.75,9,4.4,6,15,70,0.148
1.75,9,3.7,5,11,46,0.148
1.75,5,37,10,2.9,114,0.177
1.75,5,31,8,2.1,73,0.177
1.75,5.5,29,10,3.7,114,0.177
1.75,5.5,24,8,2.7,73,0.177
1.75,6,23,10,4.5,114,0.177
1.75,6,20,8,3.3,73,0.177
1.75,6.5,20,10,5.3,114,0.177
1.75,6.5,17,8,3.9,73,0.177
1.75,7,17,10,6.1,114,0.177
1.75,7,15,8,4.5,73,0.177
1.75,7.5,15,10,6.9,114,0.177
1.75,7.5,13,8,5.1,73,0.177
1.75,8,14,10,7.8,114,0.177
1.75,8,11,8,5.7,73,0.177
1.75,9,11,10,9.3,114,0.177
1.75,9,9.5,8,6.8,73,0.177
1.75,5,80,15,2,174,0.207
1.75,5,68,12,1.4,107,0.207
1.75,5.5,63,15,2.5,174,0.207
1.75,5.5,54,12,1.8,107,0.207
1.75,6,52,15,3.1,174,0.207
1.75,6,44,12,2.1,107,0.207
1.75,6.5,44,15,3.6,174,0.207
1.75,6.5,38,12,2.5,107,0.207
1.75,7,39,15,4.1,174,0.207
1.75,7,33,12,2.9,107,0.207
1.75,7.5,34,15,4.7,174,0.207
1.75,7.5,29,12,3.3,107,0.207
1.75,8,31,15,5.2,174,0.207
1.75,8,26,12,3.6,107,0.207
1.75,9,25,15,6.3,174,0.207
1.75,9,22,12,4.4,107,0.207
2,5.5,24,8,3.9,102,0.177
2,5.5,21,7,2.9,66,0.177
2,6,19,8,5,102,0.177
2,6,16,7,3.7,66,0.177
2,6.5,15,8,6.2,102,0.177
2,6.5,13,7,4.5,66,0.177
2,7,13,8,7.3,102,0.177
2,7,11,7,5.4,66,0.177
2,7.5,11,8,8.5,102,0.177
2,7.5,9.4,7,6.2,66,0.177
2,8,9.8,8,9.6,102,0.177
2,8,8.3,7,7.1,66,0.177
2,9,7.9,8,12,102,0.177
2,9,6.7,7,8.8,66,0.177
2,10,6.6,8,14,102,0.177
2,10,5.6,7,10,66,0.177
2,5.5,53,13,2.7,153,0.207
2,5.5,45,11,1.9,95,0.207
2,6,41,13,3.4,153,0.207
2,6,35,11,2.4,95,0.207
2,6.5,34,13,4.2,153,0.207
2,6.5,29,11,2.9,95,0.207
2,7,29,13,4.9,153,0.207
2,7,24,11,3.4,95,0.207
2,7.5,25,13,5.6,153,0.207
2,7.5,21,11,4,95,0.207
2,8,22,13,6.4,153,0.207
2,8,19,11,4.5,95,0.207
2,9,18,13,7.9,153,0.207
2,9,15,11,5.5,95,0.207
2,10,15,13,9.4,153,0.207
2,10,13,11,6.6,95,0.207
0.437,6,4.7,4,3.2,19,0.062
0.375,6,0.81,1,6.8,6.5,0.041
0.281,6,0.8,0.9,5.5,5.3,0.034
0.25,6,0.42,0.5,9.3,4.4,0.028
0.296,4.25,2.6,2,2.7,8.6,0.041
0.375,3.75,1.4,1,3.8,6.5,0.041
0.437,2.75,0.5,0.3,5.9,3.3,0.034
0.75,3.13,33,11,1.2,50,0.105
0.625,5.5,6.4,5,3.4,27,0.08
0.375,5,0.37,0.5,13,5.2,0.034
0.562,4,0.76,0.7,7.6,6.5,0.047
0.5,4.5,4.1,3,3.2,16,0.062
0.687,4.75,11,8,2.5,35,0.091
0.5,5,8.2,6,2.3,25,0.072
0.562,5,5.6,4,3.1,22,0.072
0.687,5,2.9,3,5,17,0.072
0.687,5.5,4.5,4,4.4,24,0.08
0.875,6,3.9,4,5.6,26,0.091
0.625,6.5,5.3,5,4.1,27,0.08
0.188,0.53,0.78,0.05,1,0.84,0.014
0.234,0.94,2.2,0.3,1.3,3.1,0.024
0.156,0.59,0.33,0.04,1.8,0.64,0.012
0.172,0.31,4.1,0.1,0.28,1.2,0.016
0.359,0.69,0.96,0.1,2,2,0.024
0.359,0.81,3.8,0.4,0.78,3.4,0.032
0.359,0.84,6.8,0.6,0.58,4.6,0.036
0.203,4.06,0.99,0.7,4.3,4.9,0.027
0.25,3.59,2.3,1,2.2,6.3,0.035
0.188,0.63,0.12,0.02,3.3,0.41,0.011
0.328,1.38,29,4,0.39,15,0.052
0.25,0.66,0.39,0.04,1.7,0.71,0.015
0.328,1.2,88,9,0.22,28,0.063
0.25,1.75,14,3,0.57,10,0.041
0.125,0.97,2,0.3,0.92,2.1,0.017
0.375,1.13,8.4,1,0.66,6.5,0.041
0.125,0.38,1.9,0.09,0.49,1,0.013
0.063,1,0.34,0.06,1.2,0.48,0.008
0.125,0.41,1.1,0.06,0.64,0.8,0.012
0.125,1,6.2,0.7,0.54,4,0.021
0.25,1.22,5.3,0.9,1.1,6.7,0.032
0.359,1.5,3.8,0.8,1.2,5.5,0.039
0.5,2.34,6.9,2,1.6,13,0.058
0.25,2.34,7.3,2,0.88,8.3,0.039
0.359,1.75,4,1,1.4,6.5,0.041
0.25,1.38,1.6,0.4,2,3.5,0.026
0.5,1.81,16,3,0.87,17,0.063
0.25,2.97,6.1,2,1.2,9.8,0.041
0.5,1.38,2.6,0.5,1.9,5.4,0.044
0.359,1.38,1.4,0.3,2.5,3.7,0.03
0.359,2,21,5,0.66,18,0.057
0.25,1.88,0.86,0.3,3.3,3.1,0.025
0.515,2.22,4.7,2,1.8,10,0.055
0.25,1.25,12,1.6,0.5,7.6,0.038
0.25,2.13,3.5,1,1.4,6,0.034
0.656,2,6.9,2,1.5,12,0.063
0.5,2.13,14,3,1,18,0.064
0.5,2.25,2.2,0.9,2.7,6.8,0.046
0.5,2.03,2.5,0.8,2.2,6.4,0.046
0.359,1.97,2.4,0.8,1.9,5.4,0.038
0.781,2.25,0.61,0.4,7,4.6,0.047
0.281,2.5,0.03,0.03,22,0.63,0.015
0.125,1.38,3.2,0.6,0.91,3.5,0.02
0.25,2.38,1.3,0.6,3.3,4.9,0.029
0.5,3,6.4,3,2.1,16,0.062
0.531,3.31,40,15,0.86,49,0.092
0.375,3.28,0.67,0.5,5.2,4,0.035
0.531,3.78,0.2,0.2,13,2.8,0.035
0.375,2.34,9.7,3,1.1,13,0.052
0.312,1.56,56,8,0.32,26,0.06
0.281,1.25,6.2,1,0.79,6,0.036
0.406,1.16,4.2,0.8,1.1,5.5,0.04
0.359,1.03,13,2,0.57,9.2,0.045
0.296,4.31,2.2,2,2.9,7.9,0.04
0.656,3.47,3.9,3,3.4,16,0.07
0.859,3.94,4.3,3,4.3,22,0.084
0.437,3.38,8.6,4,1.7,19,0.062
0.188,0.44,5.5,0.3,0.42,2.6,0.021
0.188,0.5,35,1,0.19,8.2,0.031
0.125,0.75,0.62,0.09,1.5,1,0.013
0.188,1,0.91,0.2,1.9,1.9,0.019
0.125,1.63,0.16,0.06,4.6,0.8,0.012
0.125,1.5,7,0.75,0.59,5.4,0.023
0.156,1.13,4.1,0.6,0.87,4.2,0.023
0.39,1.5,3.6,0.9,1.5,6.2,0.041
0.156,0.67,0.78,0.1,1.3,1.1,0.015
0.312,2.5,6.4,2,1.3,11,0.045
0.437,1.63,11,2,0.94,13,0.055
0.468,2.25,11,4,1.8,23,0.062
0.14,0.41,1,0.07,0.82,0.9,0.013
0.219,0.69,1.3,0.2,1.3,1.9,0.02
